18:11:53.094 | DEBUG | Application | Log Level changed to [TRACE]
18:11:53.114 | DEBUG | GenerateTestsCommand | Generating test for [spoon.support.reflect.cu.position.SourcePositionImpl] - started
18:11:53.114 | DEBUG | GenerateTestsCommand | Classpath to be used: 
 /home/zver/IdeaProjects/UTBotJava/utbot-junit-contest/src/main/resources/projects/spoon/spoon-core-7.2.0-jar-with-dependencies.jar 

18:11:53.864 | WARN  | DependencyUtils | Unexpected error during parsing /home/zver/IdeaProjects/UTBotJava/utbot-cli/build/classes/kotlin/main manifest file java.io.FileNotFoundException: /home/zver/IdeaProjects/UTBotJava/utbot-cli/build/classes/kotlin/main (Is a directory)
18:11:53.864 | WARN  | DependencyUtils | Unexpected error during parsing /home/zver/IdeaProjects/UTBotJava/utbot-cli/build/resources/main manifest file java.io.FileNotFoundException: /home/zver/IdeaProjects/UTBotJava/utbot-cli/build/resources/main (Is a directory)
18:11:53.865 | WARN  | DependencyUtils | Unexpected error during parsing /home/zver/IdeaProjects/UTBotJava/utbot-framework/build/classes/kotlin/main manifest file java.io.FileNotFoundException: /home/zver/IdeaProjects/UTBotJava/utbot-framework/build/classes/kotlin/main (Is a directory)
18:11:53.865 | WARN  | DependencyUtils | Unexpected error during parsing /home/zver/IdeaProjects/UTBotJava/utbot-framework/build/classes/java/main manifest file java.io.FileNotFoundException: /home/zver/IdeaProjects/UTBotJava/utbot-framework/build/classes/java/main (Is a directory)
18:11:53.865 | WARN  | DependencyUtils | Unexpected error during parsing /home/zver/IdeaProjects/UTBotJava/utbot-framework/build/resources/main manifest file java.io.FileNotFoundException: /home/zver/IdeaProjects/UTBotJava/utbot-framework/build/resources/main (Is a directory)
18:11:53.866 | WARN  | DependencyUtils | Unexpected error during parsing /home/zver/IdeaProjects/UTBotJava/utbot-analytics/build/classes/kotlin/main manifest file java.io.FileNotFoundException: /home/zver/IdeaProjects/UTBotJava/utbot-analytics/build/classes/kotlin/main (Is a directory)
18:11:53.866 | WARN  | DependencyUtils | Unexpected error during parsing /home/zver/IdeaProjects/UTBotJava/utbot-analytics/build/resources/main manifest file java.io.FileNotFoundException: /home/zver/IdeaProjects/UTBotJava/utbot-analytics/build/resources/main (Is a directory)
18:11:53.866 | WARN  | DependencyUtils | Unexpected error during parsing /home/zver/IdeaProjects/UTBotJava/utbot-summary/build/classes/kotlin/main manifest file java.io.FileNotFoundException: /home/zver/IdeaProjects/UTBotJava/utbot-summary/build/classes/kotlin/main (Is a directory)
18:11:53.868 | WARN  | DependencyUtils | Unexpected error during parsing /home/zver/IdeaProjects/UTBotJava/utbot-fuzzers/build/classes/java/main manifest file java.io.FileNotFoundException: /home/zver/IdeaProjects/UTBotJava/utbot-fuzzers/build/classes/java/main (Is a directory)
18:11:53.868 | WARN  | DependencyUtils | Unexpected error during parsing /home/zver/IdeaProjects/UTBotJava/utbot-fuzzers/build/classes/kotlin/main manifest file java.io.FileNotFoundException: /home/zver/IdeaProjects/UTBotJava/utbot-fuzzers/build/classes/kotlin/main (Is a directory)
18:11:53.869 | WARN  | DependencyUtils | Unexpected error during parsing /home/zver/IdeaProjects/UTBotJava/utbot-framework-api/build/classes/kotlin/main manifest file java.io.FileNotFoundException: /home/zver/IdeaProjects/UTBotJava/utbot-framework-api/build/classes/kotlin/main (Is a directory)
18:11:53.869 | WARN  | DependencyUtils | Unexpected error during parsing /home/zver/IdeaProjects/UTBotJava/utbot-core/build/classes/kotlin/main manifest file java.io.FileNotFoundException: /home/zver/IdeaProjects/UTBotJava/utbot-core/build/classes/kotlin/main (Is a directory)
18:11:53.869 | WARN  | DependencyUtils | Unexpected error during parsing /home/zver/IdeaProjects/UTBotJava/utbot-api/build/classes/java/main manifest file java.io.FileNotFoundException: /home/zver/IdeaProjects/UTBotJava/utbot-api/build/classes/java/main (Is a directory)
18:11:53.870 | WARN  | DependencyUtils | Unexpected error during parsing /home/zver/IdeaProjects/UTBotJava/utbot-api/build/classes/kotlin/main manifest file java.io.FileNotFoundException: /home/zver/IdeaProjects/UTBotJava/utbot-api/build/classes/kotlin/main (Is a directory)
18:11:53.870 | WARN  | DependencyUtils | Unexpected error during parsing /home/zver/IdeaProjects/UTBotJava/utbot-instrumentation/build/classes/kotlin/main manifest file java.io.FileNotFoundException: /home/zver/IdeaProjects/UTBotJava/utbot-instrumentation/build/classes/kotlin/main (Is a directory)
18:11:54.585 | INFO  | AllInMemoryClassProvider | Loaded: 3 path entries, 27241 classes, 96978975 bytes
18:12:23.355 | DEBUG | PackManager | Transforming org.eclipse.jdt.core.util.IRuntimeVisibleParameterAnnotationsAttribute...
18:12:23.355 | DEBUG | PackManager | Transforming org.eclipse.jdt.core.util.IParameterAnnotation...
18:12:23.355 | DEBUG | PackManager | Transforming org.eclipse.jdt.core.util.IPackageVisibilityInfo...
18:12:23.355 | DEBUG | PackManager | Transforming org.eclipse.jdt.core.compiler.IProblem...
18:12:23.355 | DEBUG | PackManager | Transforming org.eclipse.jdt.core.IAnnotatable...
18:12:23.356 | DEBUG | PackManager | Transforming org.eclipse.jdt.core.index.JavaIndexerApplication...
18:12:23.356 | DEBUG | PackManager | Transforming org.eclipse.jdt.core.search.TypeParameterDeclarationMatch...
18:12:23.356 | DEBUG | PackManager | Transforming org.eclipse.jdt.core.search.MethodNameMatchRequestor...
18:12:23.356 | DEBUG | PackManager | Transforming org.eclipse.jdt.core.ICompletionRequestor...
18:12:23.356 | DEBUG | PackManager | Transforming org.eclipse.jdt.core.ClasspathContainerInitializer$1...
